,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
838,20132.240234,20132.240234,2012-08-23,20133.410156,19935.130859,19935.130859,%5eHSI,1231818600
837,19880.029297,19880.029297,2012-08-24,19930.449219,19840.189453,19930.449219,%5eHSI,1124259600
836,19798.669922,19798.669922,2012-08-27,19939.539062,19769.429688,19939.539062,%5eHSI,1211797900
835,19811.800781,19811.800781,2012-08-28,19856.320312,19723.300781,19723.300781,%5eHSI,1077330100
834,19788.509766,19788.509766,2012-08-29,19863.470703,19770.539062,19857.609375,%5eHSI,1075024000
833,19552.910156,19552.910156,2012-08-30,19657.199219,19509.310547,19657.199219,%5eHSI,1453043300
832,19482.570312,19482.570312,2012-08-31,19554.259766,19450.769531,19516.949219,%5eHSI,1346966500
831,19559.210938,19559.210938,2012-09-03,19608.550781,19386.039062,19414.619141,%5eHSI,1166337700
830,19429.910156,19429.910156,2012-09-04,19572.310547,19414.509766,19540.929688,%5eHSI,1146614900
829,19145.070312,19145.070312,2012-09-05,19330.160156,19116.839844,19330.160156,%5eHSI,1773167600
828,19209.300781,19209.300781,2012-09-06,19216.080078,19076.789062,19101.929688,%5eHSI,1360569200
827,19802.160156,19802.160156,2012-09-07,19829.019531,19484.240234,19537.929688,%5eHSI,3303572400
826,19827.169922,19827.169922,2012-09-10,19930.369141,19764.689453,19876.410156,%5eHSI,3198134800
825,19857.880859,19857.880859,2012-09-11,19907.300781,19658.710938,19757.369141,%5eHSI,1623644500
824,20075.390625,20075.390625,2012-09-12,20118.189453,19996.140625,19996.140625,%5eHSI,1365032900
823,20047.630859,20047.630859,2012-09-13,20146.769531,20009.50,20061.970703,%5eHSI,1237079000
822,20629.779297,20629.779297,2012-09-14,20648.099609,20475.740234,20479.380859,%5eHSI,2554583000
821,20658.109375,20658.109375,2012-09-17,20758.490234,20591.439453,20758.490234,%5eHSI,1548748900
820,20601.929688,20601.929688,2012-09-18,20712.689453,20568.119141,20622.119141,%5eHSI,1445956300
819,20841.910156,20841.910156,2012-09-19,20895.609375,20609.519531,20609.519531,%5eHSI,1938983200
818,20590.919922,20590.919922,2012-09-20,20816.769531,20578.560547,20816.769531,%5eHSI,1501413600
817,20734.939453,20734.939453,2012-09-21,20808.039062,20677.140625,20697.269531,%5eHSI,1842999800
816,20694.699219,20694.699219,2012-09-24,20780.140625,20503.240234,20611.099609,%5eHSI,977714200
815,20698.679688,20698.679688,2012-09-25,20758.359375,20648.589844,20694.330078,%5eHSI,1066825300
814,20527.730469,20527.730469,2012-09-26,20576.839844,20485.080078,20485.990234,%5eHSI,1112532000
813,20762.289062,20762.289062,2012-09-27,20850.490234,20487.359375,20487.359375,%5eHSI,1740972000
812,20840.380859,20840.380859,2012-09-28,20889.900391,20725.519531,20757.970703,%5eHSI,1403623200
811,20840.380859,20840.380859,2012-10-01,20840.380859,20840.380859,20840.380859,%5eHSI,000
810,20888.279297,20888.279297,2012-10-03,21005.679688,20799.820312,20951.380859,%5eHSI,1378884900
809,20907.949219,20907.949219,2012-10-04,20947.300781,20835.060547,20914.320312,%5eHSI,1025617100
808,21012.380859,21012.380859,2012-10-05,21021.240234,20924.730469,21007.599609,%5eHSI,1290461900
807,20824.560547,20824.560547,2012-10-08,20981.630859,20807.929688,20979.529297,%5eHSI,1350069800
806,20937.279297,20937.279297,2012-10-09,21093.099609,20926.830078,20926.830078,%5eHSI,1542861900
805,20919.599609,20919.599609,2012-10-10,20941.890625,20767.359375,20785.060547,%5eHSI,1236864700
804,20999.050781,20999.050781,2012-10-11,21013.449219,20813.050781,20813.050781,%5eHSI,2550414800
803,21136.429688,21136.429688,2012-10-12,21236.570312,21051.089844,21051.089844,%5eHSI,2318876200
802,21148.25,21148.25,2012-10-15,21184.429688,21076.949219,21137.609375,%5eHSI,1352365700
801,21207.070312,21207.070312,2012-10-16,21257.089844,21120.169922,21257.089844,%5eHSI,1498826100
800,21416.640625,21416.640625,2012-10-17,21442.730469,21352.880859,21421.869141,%5eHSI,1714967600
799,21518.710938,21518.710938,2012-10-18,21606.320312,21476.300781,21490.859375,%5eHSI,2154856400
798,21551.759766,21551.759766,2012-10-19,21591.619141,21522.910156,21565.75,%5eHSI,1639351400
797,21697.550781,21697.550781,2012-10-22,21699.070312,21431.240234,21440.009766,%5eHSI,1466782700
796,21763.779297,21763.779297,2012-10-24,21802.490234,21533.240234,21561.589844,%5eHSI,1711748800
795,21810.230469,21810.230469,2012-10-25,21839.640625,21710.839844,21792.669922,%5eHSI,1633405600
794,21545.570312,21545.570312,2012-10-26,21847.699219,21527.539062,21847.699219,%5eHSI,1655334600
793,21511.050781,21511.050781,2012-10-29,21561.970703,21397.089844,21478.119141,%5eHSI,1430951700
792,21428.580078,21428.580078,2012-10-30,21575.029297,21338.650391,21549.169922,%5eHSI,1426440700
791,21641.820312,21641.820312,2012-10-31,21648.640625,21496.919922,21539.490234,%5eHSI,1546082800
790,21821.869141,21821.869141,2012-11-01,21832.560547,21506.050781,21573.929688,%5eHSI,1671155300
789,22111.330078,22111.330078,2012-11-02,22149.699219,22019.650391,22066.289062,%5eHSI,1853113600
788,22006.400391,22006.400391,2012-11-05,22141.130859,21990.679688,22044.210938,%5eHSI,1165502600
787,21944.429688,21944.429688,2012-11-06,22008.859375,21832.279297,21959.990234,%5eHSI,1317598200
786,22099.849609,22099.849609,2012-11-07,22099.849609,21811.189453,22020.400391,%5eHSI,1555286100
785,21566.910156,21566.910156,2012-11-08,21871.849609,21555.75,21785.830078,%5eHSI,1668424200
784,21384.380859,21384.380859,2012-11-09,21525.490234,21330.339844,21433.599609,%5eHSI,1455863300
783,21430.300781,21430.300781,2012-11-12,21462.449219,21339.189453,21367.570312,%5eHSI,922157200
782,21188.650391,21188.650391,2012-11-13,21399.609375,21181.919922,21372.869141,%5eHSI,1349937200
781,21441.990234,21441.990234,2012-11-14,21446.359375,21221.310547,21250.970703,%5eHSI,1302165900
780,21108.929688,21108.929688,2012-11-15,21288.480469,21098.410156,21188.939453,%5eHSI,1408099400
779,21159.009766,21159.009766,2012-11-16,21205.310547,21105.210938,21203.820312,%5eHSI,1146325100
778,21262.060547,21262.060547,2012-11-19,21303.099609,21136.320312,21209.949219,%5eHSI,1100673100
777,21228.279297,21228.279297,2012-11-20,21478.00,21213.119141,21478.00,%5eHSI,1169937500
776,21524.359375,21524.359375,2012-11-21,21530.439453,21229.140625,21367.550781,%5eHSI,1358588100
775,21743.199219,21743.199219,2012-11-22,21774.400391,21517.910156,21595.589844,%5eHSI,1449478500
774,21913.980469,21913.980469,2012-11-23,21924.060547,21723.349609,21729.720703,%5eHSI,1337229900
773,21861.810547,21861.810547,2012-11-26,21986.359375,21827.269531,21986.359375,%5eHSI,1074310800
772,21844.029297,21844.029297,2012-11-27,22002.859375,21820.150391,21969.710938,%5eHSI,1205019200
771,21708.980469,21708.980469,2012-11-28,21764.910156,21629.580078,21764.910156,%5eHSI,1272896700
770,21922.890625,21922.890625,2012-11-29,21996.400391,21786.029297,21821.050781,%5eHSI,1272038400
769,22030.390625,22030.390625,2012-11-30,22091.609375,21918.550781,21949.400391,%5eHSI,1829162400
768,21767.849609,21767.849609,2012-12-03,22162.470703,21716.769531,22070.439453,%5eHSI,1222931400
767,21799.970703,21799.970703,2012-12-04,21853.150391,21687.880859,21786.070312,%5eHSI,1236799200
766,22270.910156,22270.910156,2012-12-05,22274.039062,21804.929688,21819.009766,%5eHSI,2465522000
765,22249.810547,22249.810547,2012-12-06,22355.890625,22215.080078,22355.890625,%5eHSI,1474980800
764,22191.169922,22191.169922,2012-12-07,22371.400391,22188.070312,22294.730469,%5eHSI,1830833200
763,22276.720703,22276.720703,2012-12-10,22377.560547,22235.759766,22377.560547,%5eHSI,1388628000
762,22323.939453,22323.939453,2012-12-11,22393.199219,22244.019531,22295.990234,%5eHSI,1585416300
761,22503.349609,22503.349609,2012-12-12,22508.009766,22412.900391,22412.900391,%5eHSI,1856501400
760,22445.580078,22445.580078,2012-12-13,22563.140625,22380.779297,22500.990234,%5eHSI,1475964000
759,22605.980469,22605.980469,2012-12-14,22636.429688,22396.720703,22396.720703,%5eHSI,1771220400
758,22513.609375,22513.609375,2012-12-17,22625.410156,22453.589844,22590.759766,%5eHSI,1451263500
757,22494.730469,22494.730469,2012-12-18,22588.480469,22449.740234,22525.460938,%5eHSI,3217316000
756,22623.369141,22623.369141,2012-12-19,22683.720703,22562.019531,22654.650391,%5eHSI,1577167800
755,22659.779297,22659.779297,2012-12-20,22661.740234,22483.949219,22602.990234,%5eHSI,1620967700
754,22506.289062,22506.289062,2012-12-21,22565.089844,22423.160156,22565.089844,%5eHSI,1805720400
753,22541.179688,22541.179688,2012-12-24,22577.560547,22494.710938,22494.710938,%5eHSI,560264800
752,22541.179688,22541.179688,2012-12-26,22541.179688,22541.179688,22541.179688,%5eHSI,000
751,22619.779297,22619.779297,2012-12-27,22718.830078,22608.599609,22705.460938,%5eHSI,1053372600
750,22666.589844,22666.589844,2012-12-28,22706.330078,22628.460938,22706.330078,%5eHSI,1043816200
749,22656.919922,22656.919922,2012-12-31,22698.330078,22566.890625,22584.439453,%5eHSI,685413000
748,23311.980469,23311.980469,2013-01-02,23317.390625,22860.25,22860.25,%5eHSI,2129252800
747,23398.599609,23398.599609,2013-01-03,23400.740234,23234.429688,23390.539062,%5eHSI,2211207000
746,23331.089844,23331.089844,2013-01-04,23370.359375,23172.279297,23370.359375,%5eHSI,1505752800
745,23329.75,23329.75,2013-01-07,23402.449219,23254.230469,23345.199219,%5eHSI,1401515000
744,23111.189453,23111.189453,2013-01-08,23264.029297,23088.400391,23264.029297,%5eHSI,1461679100
743,23218.470703,23218.470703,2013-01-09,23235.390625,23141.669922,23154.710938,%5eHSI,1518554800
742,23354.310547,23354.310547,2013-01-10,23477.890625,23165.640625,23240.070312,%5eHSI,1911808400
741,23264.070312,23264.070312,2013-01-11,23486.599609,23212.900391,23478.810547,%5eHSI,1526867400
740,23413.259766,23413.259766,2013-01-14,23441.939453,23292.070312,23326.820312,%5eHSI,1559383600
739,23381.509766,23381.509766,2013-01-15,23515.859375,23306.169922,23388.470703,%5eHSI,1450147700
738,23356.990234,23356.990234,2013-01-16,23390.189453,23203.240234,23390.189453,%5eHSI,1370170300
